Cutoff,vals
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,0
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,0
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,0
Bonf,1
Bonf,0
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,0
Bonf,1
Bonf,1
Bonf,1
Bonf,0
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,0
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
Bonf,1
