Run,analyte_type,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,biospecimen_repository,biospecimen_repository_sample_id,body_site,Bytes,Center Name,Consent_Code,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,gap_accession,gap_parent_phs,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,study_design,study_name,submitted_subject_id,alignment_software (exp),AssemblyName,region
SRR3583683,cytosolic mRNA,RNA-Seq,75,2381804850,PRJNA242448,SAMN04094202,Spatiotemporal_Transcriptome_Brain,HSB130_DFC_L_mRNA,Dorsolateral prefrontal cortex,903623997,NIMH-PHS000731,1,GRU,"bam,sra,run.zq","ncbi,gs,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX1798053,phs000731,phs000755,Illumina Genome Analyzer IIx,HSB130_DFC_L_mRNA,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-24T00:00:00Z,2016-05-25T03:55:00Z,1,HSB130_DFC_L_mRNA,female,SRP075652,Control Set,BrainSpan Atlas of the Developing and Adult Human Brain,HSB130,STAR 2.4.0e,GCA_000001405.16,DFC
SRR3583699,cytosolic mRNA,RNA-Seq,75,3636345975,PRJNA242448,SAMN04094156,Spatiotemporal_Transcriptome_Brain,HSB131_DFC_L_mRNA,Dorsolateral prefrontal cortex,1941205327,NIMH-PHS000731,1,GRU,"sra,bam,run.zq","gs,ncbi,s3","ncbi.dbgap,s3.us-east-1,gs.US",SRX1798069,phs000731,phs000755,Illumina Genome Analyzer IIx,HSB131_DFC_L_mRNA,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-24T00:00:00Z,2016-05-25T04:01:00Z,1,HSB131_DFC_L_mRNA,female,SRP075652,Control Set,BrainSpan Atlas of the Developing and Adult Human Brain,HSB131,STAR 2.4.0e,GCA_000001405.16,DFC
SRR3583715,cytosolic mRNA,RNA-Seq,75,3463403550,PRJNA242448,SAMN04094964,Spatiotemporal_Transcriptome_Brain,HSB132_DFC_L_mRNA,Dorsolateral prefrontal cortex,1852496110,NIMH-PHS000731,1,GRU,"bam,sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.dbgap,gs.US",SRX1798085,phs000731,phs000755,Illumina Genome Analyzer IIx,HSB132_DFC_L_mRNA,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-24T00:00:00Z,2016-05-25T04:00:00Z,1,HSB132_DFC_L_mRNA,male,SRP075652,Control Set,BrainSpan Atlas of the Developing and Adult Human Brain,HSB132,STAR 2.4.0e,GCA_000001405.16,DFC
SRR3583731,cytosolic mRNA,RNA-Seq,75,3209985075,PRJNA242448,SAMN04094667,Spatiotemporal_Transcriptome_Brain,HSB135_DFC_R_mRNA,Dorsolateral prefrontal cortex,1323249847,NIMH-PHS000731,1,GRU,"sra,run.zq,bam","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.dbgap",SRX1798101,phs000731,phs000755,Illumina Genome Analyzer IIx,HSB135_DFC_R_mRNA,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-24T00:00:00Z,2016-05-25T03:59:00Z,1,HSB135_DFC_R_mRNA,female,SRP075652,Control Set,BrainSpan Atlas of the Developing and Adult Human Brain,HSB135,STAR 2.4.0e,GCA_000001405.16,DFC
SRR3583746,cytosolic mRNA,RNA-Seq,75,3433544850,PRJNA242448,SAMN04094871,Spatiotemporal_Transcriptome_Brain,HSB136_DFC_R_mRNA,Dorsolateral prefrontal cortex,1950862015,NIMH-PHS000731,1,GRU,"run.zq,sra,bam","gs,s3,ncbi","ncbi.dbgap,s3.us-east-1,gs.US",SRX1798116,phs000731,phs000755,Illumina Genome Analyzer IIx,HSB136_DFC_R_mRNA,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-24T00:00:00Z,2016-05-25T04:11:00Z,1,HSB136_DFC_R_mRNA,male,SRP075652,Control Set,BrainSpan Atlas of the Developing and Adult Human Brain,HSB136,STAR 2.4.0e,GCA_000001405.16,DFC
SRR3583762,cytosolic mRNA,RNA-Seq,75,3179723925,PRJNA242448,SAMN04094582,Spatiotemporal_Transcriptome_Brain,HSB139_DFC_L_mRNA,Dorsolateral prefrontal cortex,1182575684,NIMH-PHS000731,1,GRU,"bam,run.zq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.dbgap",SRX1798132,phs000731,phs000755,Illumina Genome Analyzer IIx,HSB139_DFC_L_mRNA,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-24T00:00:00Z,2016-05-25T04:03:00Z,1,HSB139_DFC_L_mRNA,male,SRP075652,Control Set,BrainSpan Atlas of the Developing and Adult Human Brain,HSB139,STAR 2.4.0e,GCA_000001405.16,DFC
SRR3583778,cytosolic mRNA,RNA-Seq,75,2956645875,PRJNA242448,SAMN04094275,Spatiotemporal_Transcriptome_Brain,HSB141_DFC_L_mRNA,Dorsolateral prefrontal cortex,1311648429,NIMH-PHS000731,1,GRU,"bam,run.zq,sra","gs,ncbi,s3","ncbi.dbgap,gs.US,s3.us-east-1",SRX1798148,phs000731,phs000755,Illumina Genome Analyzer IIx,HSB141_DFC_L_mRNA,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-24T00:00:00Z,2016-05-25T04:05:00Z,1,HSB141_DFC_L_mRNA,male,SRP075652,Control Set,BrainSpan Atlas of the Developing and Adult Human Brain,HSB141,STAR 2.4.0e,GCA_000001405.16,DFC
SRR3583794,cytosolic mRNA,RNA-Seq,75,3080090325,PRJNA242448,SAMN04094683,Spatiotemporal_Transcriptome_Brain,HSB143_DFC_R_mRNA,Dorsolateral prefrontal cortex,1236787007,NIMH-PHS000731,1,GRU,"bam,sra,run.zq","gs,s3,ncbi","gs.US,ncbi.dbgap,s3.us-east-1",SRX1798164,phs000731,phs000755,Illumina Genome Analyzer IIx,HSB143_DFC_R_mRNA,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-24T00:00:00Z,2016-05-25T04:06:00Z,1,HSB143_DFC_R_mRNA,female,SRP075652,Control Set,BrainSpan Atlas of the Developing and Adult Human Brain,HSB143,STAR 2.4.0e,GCA_000001405.16,DFC
SRR3583810,cytosolic mRNA,RNA-Seq,75,2639946225,PRJNA242448,SAMN04094518,Spatiotemporal_Transcriptome_Brain,HSB145_DFC_R_mRNA,Dorsolateral prefrontal cortex,1148284056,NIMH-PHS000731,1,GRU,"sra,run.zq,bam","s3,ncbi","s3.us-east-1,ncbi.dbgap",SRX1798180,phs000731,phs000755,Illumina Genome Analyzer IIx,HSB145_DFC_R_mRNA,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-24T00:00:00Z,2022-10-17T13:00:00Z,2,HSB145_DFC_R_mRNA,male,SRP075652,Control Set,BrainSpan Atlas of the Developing and Adult Human Brain,HSB145,STAR 2.4.0e,GCA_000001405.16,DFC
SRR3583825,cytosolic mRNA,RNA-Seq,75,3744600525,PRJNA242448,SAMN04094542,Spatiotemporal_Transcriptome_Brain,HSB148_DFC_L_mRNA,Dorsolateral prefrontal cortex,1638662778,NIMH-PHS000731,1,GRU,"run.zq,bam,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.dbgap",SRX1798195,phs000731,phs000755,Illumina Genome Analyzer IIx,HSB148_DFC_L_mRNA,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-24T00:00:00Z,2016-05-25T04:08:00Z,1,HSB148_DFC_L_mRNA,male,SRP075652,Control Set,BrainSpan Atlas of the Developing and Adult Human Brain,HSB148,STAR 2.4.0e,GCA_000001405.16,DFC
