individualID,specimenID,specimenIdSource,organ,tissue,BrodmannArea,sampleStatus,tissueWeight,tissueVolume,nucleicAcidSource,cellType,fastingState,isPostMortem,samplingAge,samplingAgeUnits,visitNumber,assay,exclude,excludeReason,samplingDate,platform,RIN,rnaBatch,libraryBatch,sequencingBatch,libraryPrep,libraryPreparationMethod,isStranded,readStrandOrigin,runType,readLength,notes
R2565200,229_120425,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.9,,4,4,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2554598,351_120501,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.5,,4,4,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2549195,98_120417,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,8.1,,6,6,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2543886,626_120524,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,8.4,,1,1,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2516394,398_120503,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.4,,0,0,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2494273,460_120514,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.5,,5,5,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2488731,258_120426,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,8,,6,6,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2474257,606_120523,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.8,,4,4,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2472304,220_120425,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.7,,2,2,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2455930,569_120521,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.4,,5,5,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2424757,20_120411,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,8.3,,6,6,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2398607,630_120524,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.8,,3,3,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2398487,356_120501,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,8.3,,1,1,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2397348,227_120425,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.3,,4,4,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2386521,202_120424,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.3,,3,3,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2373966,426_120507,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,8.4,,1,1,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2372487,406_120503,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.3,,5,5,polyAselection,,True,,pairedEnd,101,data contribution batch 1
