individualID,specimenID,specimenIdSource,organ,tissue,BrodmannArea,sampleStatus,tissueWeight,tissueVolume,nucleicAcidSource,cellType,fastingState,isPostMortem,samplingAge,samplingAgeUnits,visitNumber,assay,exclude,excludeReason,samplingDate,platform,RIN,rnaBatch,libraryBatch,sequencingBatch,libraryPrep,libraryPreparationMethod,isStranded,readStrandOrigin,runType,readLength,notes
R5741580,199_120424,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,5.2,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R7736989,278_120430,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,8.1,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R5321546,208_120424,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,6.1,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R3883605,262_120426,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,7.7,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R7369657,85_120417,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,6.1,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R1770216,192_120424,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,6.8,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R3278000,95_120417,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,6.8,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R3258204,184_120424,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,7.5,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R5009796,205_120424,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,8.3,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R5280213,43_120416,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,5.2,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R3867150,343_120501,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,5.6,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R9940994,308_120430,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,7,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R5139757,91_120417,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,5,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R8223945,225_120425,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,7,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R1353719,175_120424,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,5.6,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R1631616,163_120423,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,6.1,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R1018391,382_120503,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,6.5,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R1435458,41_120416,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,5,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R4197631,114_120418,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,8.2,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R8317760,167_120423,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,7,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R9730707,143_120419,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,6.7,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R7539797,436_120507,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,6.8,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R7255476,123_120418,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,7.2,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R8813354,652_120529,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,6.2,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R8596114,50_120416,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,7.6,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R9950567,781_130528,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.4,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R9891381,786_130530,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.1,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R9886653,924_131031,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.5,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R9794121,951_131107,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.3,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R9764427,879_130918,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.2,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R9679238,925_131031,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.7,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R9583560,865_130911,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R9557117,811_130702,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R9537646,797_130701,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.3,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R9500594,940_131101,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.6,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R9324027,815_130702,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.4,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R9323873,846_130830,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.1,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R9314674,900_131010,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.2,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R9299236,881_130918,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.6,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R9239503,905_131010,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.2,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R9170872,820_130725,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.1,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R8760165,812_130702,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.9,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R8678748,893_130923,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.3,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R8645947,941_131101,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.9,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R8627329,793_130530,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.9,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R8477425,889_130923,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.5,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R8463496,923_131031,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.2,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R8410904,834_130729,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.6,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R8266864,857_130905,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.1,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R8125311,844_130830,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.2,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R7950545,redo4_140501,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.4,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R7868788,831_130725,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,8.1,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R7702934,929_131031,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.2,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R7674931,954_131107,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R7651923,899_131010,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.9,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R7627203,932_131101,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.8,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R7202764,799_130701,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.3,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R7070153,862_130911,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R7015250,845_130830,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.1,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R6913259,805_130701,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.6,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R6828280,958_131107,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.2,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R6679530,950_131107,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,8.1,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R6280004,927_131031,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.4,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R6163933,909_131031,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.1,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R6155093,911_131031,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.9,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R5924065,938_131101,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.9,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R5893965,936_131101,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.5,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R5676537,935_131101,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.1,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R5629689,943_131101,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.1,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R5573393,769_130523,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.9,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R5313591,876_130918,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.7,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R5210462,861_130911,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.4,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R5126867,885_130923,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.1,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R4996203,926_131031,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.9,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R4981575,949_131107,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.7,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R4956716,894_130923,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R4854051,847_130830,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.6,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R4745715,946_131107,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.4,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R4674788,892_130923,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.4,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R4673194,884_130923,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.6,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R4637403,791_130530,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R4536332,824_130725,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.1,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R4480046,763_130520,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.6,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R4266155,934_131101,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.4,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R4240155,792_130530,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.2,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R3997006,952_131107,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.8,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R3914030,942_131101,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.2,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R3864948,821_130725,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.8,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R3863249,813_130702,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.5,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R3727306,809_130702,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.3,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R3710945,777_130528,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,8,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R3623803,887_130923,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.4,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R3341095,775_130528,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.5,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R3218482,770_130523,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.2,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R3211474,944_131107,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.5,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R3209518,922_131031,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.2,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2975126,895_130923,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.8,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2963600,871_130911,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.4,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2928383,826_130725,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,8.1,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2901804,901_131010,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.7,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2787688,937_131101,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.1,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2711188,956_131107,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.2,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2658091,833_130729,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.8,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2506056,882_130918,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.3,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2500527,803_130701,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2347173,768_130523,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.1,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2169533,778_130528,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.2,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2157677,957_131107,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.6,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2144127,945_131107,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.3,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1627792,796_130701,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.9,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1609849,767_130523,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1571066,807_130701,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.2,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1412995,810_130702,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.6,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1408411,787_130530,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,8,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1360065,864_130911,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.6,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1327471,776_130528,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.6,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1224782,829_130725,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.4,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1133959,939_131101,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.2,,8,8,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1067972,790_130530,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.7,,7,7,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1708627,1031-DLPFC,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,7.5,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R1528689,1061-DLPFC,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,7.4,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R2626559,Sample_2040-DLPFC,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,7.7,,,NYGC2,rRNAdepletion,Kapa,True,reverse,pairedEnd,100,data contribution batch 2
R6928327,2014-DLPFC,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,7.4,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R6013281,Sample_R6013281-DLPFC,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,6.7,,,NYGC3,rRNAdepletion,Kapa,True,reverse,pairedEnd,100,data contribution batch 2
R2139504,1084-DLPFC,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,5,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R2249549,Sample_R2249549-DLPFC,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,5.4,,,NYGC3,rRNAdepletion,Kapa,True,reverse,pairedEnd,100,data contribution batch 2
R3512949,Sample_R3512949-DLPFC,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,6.9,,,NYGC3,rRNAdepletion,Kapa,True,reverse,pairedEnd,100,data contribution batch 2
R3840906,Sample_R3840906-DLPFC,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,6.8,,,NYGC3,rRNAdepletion,Kapa,True,reverse,pairedEnd,100,data contribution batch 2
R2688135,Sample_R2688135-DLPFC,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,4.6,,,NYGC3,rRNAdepletion,Kapa,True,reverse,pairedEnd,100,data contribution batch 2
R7339628,1022-DLPFC,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,6.3,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R4928630,Sample_R4928630-DLPFC,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,6.8,,,NYGC3,rRNAdepletion,Kapa,True,reverse,pairedEnd,100,data contribution batch 2
R5647192,Sample_R5647192-DLPFC,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,6.9,,,NYGC3,rRNAdepletion,Kapa,True,reverse,pairedEnd,100,data contribution batch 2
