Gene,Gene_name,In_OMIM,In_OpenTargets_Platform,OpenTargets_score,OpenTargets_sources,In_ClinVar,In_SZDB,Databases
TBR1,T-box brain transcription factor 1,N,Y,0.037240274663512284,impc|gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
TBX1,T-box transcription factor 1,Y,N,0.051684346911279655,europepmc,N,N,OMIM
TCERG1,transcription elongation regulator 1,N,Y,0.029128138220136636,gwas_credible_sets,N,N,OpenTargets_Platform
TCF20,transcription factor 20,N,Y,0.24293040088047999,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
TCF4,transcription factor 4,N,Y,0.5283420981225848,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
TCF7L2,transcription factor 7 like 2,N,Y,0.40548930011594264,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
TCFL5,transcription factor like 5,N,Y,0.026198751123768512,gwas_credible_sets,N,N,OpenTargets_Platform
TCN2,transcobalamin 2,N,Y,0.04995773320426333,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
TEAD1,TEA domain transcription factor 1,N,Y,0.3048861547476589,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
TENM2,teneurin transmembrane protein 2,N,Y,0.2101960839516876,gwas_credible_sets,N,N,OpenTargets_Platform
TET2,tet methylcytosine dioxygenase 2,N,Y,0.30062497102343105,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
TET3,tet methylcytosine dioxygenase 3,N,Y,0.11087395640541053,eva,Y,N,OpenTargets_Platform|ClinVar
TFAP2B,transcription factor AP-2 beta,N,Y,0.42296123136216984,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
TFAP2D,transcription factor AP-2 delta,N,Y,0.03363176754669961,gwas_credible_sets,N,N,OpenTargets_Platform
TFB1M,"transcription factor B1, mitochondrial",N,Y,0.029132003696542605,europepmc|gwas_credible_sets,N,N,OpenTargets_Platform
TGFB2,transforming growth factor beta 2,N,Y,0.10247789915044253,gwas_credible_sets|europepmc|expression_atlas,N,N,OpenTargets_Platform
TGFBRAP1,transforming growth factor beta receptor associated protein 1,N,Y,0.18048447769870987,gwas_credible_sets,N,N,OpenTargets_Platform
TH,tyrosine hydroxylase,N,Y,0.1050845870375164,europepmc|impc|eva,Y,N,OpenTargets_Platform|ClinVar
THAP3,THAP domain containing 3,N,Y,0.12990294790367504,gwas_credible_sets,N,N,OpenTargets_Platform
THAP8,THAP domain containing 8,N,Y,0.15694993522375225,gwas_credible_sets,N,N,OpenTargets_Platform
THOC7,THO complex subunit 7,N,Y,0.49499748988955006,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
THRAP3,thyroid hormone receptor associated protein 3,N,Y,0.03865947475435698,gwas_credible_sets,N,N,OpenTargets_Platform
THRB,thyroid hormone receptor beta,N,Y,0.07584735905623402,impc|gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
TIAM2,TIAM Rac1 associated GEF 2,N,Y,0.030554208615411006,gwas_credible_sets,N,N,OpenTargets_Platform
TIMD4,T cell immunoglobulin and mucin domain containing 4,N,Y,0.019976174724433925,gwas_credible_sets,N,N,OpenTargets_Platform
TIMP4,TIMP metallopeptidase inhibitor 4,N,N,0.013099552627157764,europepmc,Y,N,ClinVar
TKT,transketolase,N,Y,0.06818314376927184,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
TLCD3B,TLC domain containing 3B,N,Y,0.027236601901941094,gwas_credible_sets,N,N,OpenTargets_Platform
TLCD4,TLC domain containing 4,N,Y,0.305354732265116,gwas_credible_sets,N,N,OpenTargets_Platform
TLE3,"TLE family member 3, transcriptional corepressor",N,Y,0.2793978709950671,gwas_credible_sets,N,N,OpenTargets_Platform
TLE4,"TLE family member 4, transcriptional corepressor",N,Y,0.19888625331512125,gwas_credible_sets,N,N,OpenTargets_Platform
TLR9,toll like receptor 9,N,Y,0.030019087139834488,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
TM4SF20,transmembrane 4 L six family member 20,N,Y,0.11060853729456849,gwas_credible_sets,N,N,OpenTargets_Platform
TM6SF2,transmembrane 6 superfamily member 2,N,Y,0.03748867438423904,gwas_credible_sets,N,N,OpenTargets_Platform
TMCC3,transmembrane and coiled-coil domain family 3,N,Y,0.3744130343038497,gwas_credible_sets,N,N,OpenTargets_Platform
TMCO5A,transmembrane and coiled-coil domains 5A,N,Y,0.15687858634694474,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
TMEM115,transmembrane protein 115,N,Y,0.04090695110702342,gwas_credible_sets,N,N,OpenTargets_Platform
TMEM125,transmembrane protein 125,N,Y,0.19816221479384472,gwas_credible_sets,N,N,OpenTargets_Platform
TMEM150C,transmembrane protein 150C,N,Y,0.07127526798680686,gwas_credible_sets,N,N,OpenTargets_Platform
TMEM158,transmembrane protein 158,N,Y,0.2961245958824116,gwas_credible_sets,N,N,OpenTargets_Platform
